Hips,Spine1,Head,LeftUpperArm,LeftForeArm,LeftHand,LeftShoulder,RightUpperArm,RightForeArm,RightHand,RightShoulder,LeftUpLeg,LeftLeg,LeftFoot,RightUpLeg,RightLeg,RightFoot
"(0.00783, 0.06322, -0.00711, 0.99541)","(-0.03445, -0.00118, -0.07068, 0.99436)","(-0.32831, 0.05424, -0.01403, 0.94291)","(-0.11147, 0.64644, -0.29409, 0.69016)","(0.28397, -0.76120, 0.31099, -0.48679)","(0.54923, -0.78001, -0.20806, -0.20129)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.02607, -0.63561, -0.31240, 0.70067)","(-0.39694, -0.84285, -0.10246, 0.34033)","(-0.44027, -0.74181, -0.43341, 0.24826)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.01213, 0.06037, -0.02920, 0.99514)","(0.00389, 0.10860, -0.04923, 0.99030)","(0.00222, 0.10492, -0.03070, 0.99145)","(0.00527, 0.05812, 0.01534, 0.99564)","(-0.00730, 0.02842, 0.02208, 0.99679)","(0.00477, -0.00631, -0.03373, 0.99687)",
"(0.00994, 0.06326, -0.00765, 0.99538)","(-0.03073, -0.00220, -0.07137, 0.99443)","(-0.32839, 0.05247, -0.01625, 0.94294)","(-0.10966, 0.64558, -0.29357, 0.69148)","(0.28306, -0.76094, 0.30991, -0.48841)","(0.55058, -0.77755, -0.21000, -0.20506)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.02843, -0.63680, -0.31073, 0.70025)","(-0.39604, -0.84328, -0.10306, 0.34013)","(-0.43880, -0.74063, -0.43488, 0.25176)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.01235, 0.05977, -0.02923, 0.99517)","(0.00324, 0.10840, -0.04932, 0.99032)","(0.00212, 0.10523, -0.03068, 0.99142)","(0.00522, 0.05793, 0.01590, 0.99564)","(-0.00759, 0.02819, 0.02247, 0.99679)","(0.00475, -0.00636, -0.03363, 0.99687)",
"(0.01059, 0.06394, -0.00839, 0.99532)","(-0.02642, -0.00320, -0.07204, 0.99451)","(-0.32928, 0.05563, -0.01384, 0.94249)","(-0.10758, 0.64484, -0.29280, 0.69284)","(0.28220, -0.76037, 0.30858, -0.49063)","(0.55152, -0.77628, -0.21027, -0.20701)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.02988, -0.63772, -0.30975, 0.69977)","(-0.39513, -0.84347, -0.10546, 0.33998)","(-0.43802, -0.73958, -0.43632, 0.25369)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.01274, 0.05743, -0.02976, 0.99529)","(0.00193, 0.10782, -0.04947, 0.99038)","(0.00203, 0.10551, -0.03066, 0.99139)","(0.00544, 0.05829, 0.01621, 0.99562)","(-0.00846, 0.02712, 0.02270, 0.99681)","(0.00501, -0.00649, -0.03336, 0.99688)",
"(0.01255, 0.06449, -0.00911, 0.99526)","(-0.02203, -0.00429, -0.07273, 0.99456)","(-0.32782, 0.05493, -0.01715, 0.94298)","(-0.10622, 0.64471, -0.29124, 0.69383)","(0.28116, -0.75991, 0.30670, -0.49310)","(0.55207, -0.77505, -0.21162, -0.20875)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.03164, -0.63821, -0.30917, 0.69951)","(-0.39386, -0.84383, -0.10674, 0.34017)","(-0.43776, -0.73894, -0.43710, 0.25467)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.01281, 0.05455, -0.03081, 0.99542)","(0.00071, 0.10722, -0.04942, 0.99045)","(0.00201, 0.10579, -0.03068, 0.99136)","(0.00537, 0.05905, 0.01670, 0.99556)","(-0.00958, 0.02644, 0.02253, 0.99682)","(0.00551, -0.00654, -0.03301, 0.99689)",
"(0.01692, 0.06518, -0.01000, 0.99514)","(-0.01426, -0.00542, -0.07396, 0.99460)","(-0.33515, 0.05700, -0.02446, 0.94012)","(-0.10470, 0.64421, -0.28960, 0.69522)","(0.27967, -0.75957, 0.30408, -0.49610)","(0.55314, -0.77290, -0.21362, -0.21181)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.03443, -0.63923, -0.30821, 0.69886)","(-0.39209, -0.84420, -0.10877, 0.34065)","(-0.43681, -0.73799, -0.43898, 0.25580)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.01386, 0.05170, -0.03134, 0.99554)","(-0.00225, 0.10645, -0.04935, 0.99053)","(0.00199, 0.10606, -0.03098, 0.99132)","(0.00466, 0.05964, 0.01772, 0.99552)","(-0.01169, 0.02457, 0.02306, 0.99683)","(0.00656, -0.00659, -0.03217, 0.99691)",
"(0.02067, 0.06560, -0.01069, 0.99504)","(-0.00938, -0.00566, -0.07455, 0.99462)","(-0.32581, 0.05285, -0.01974, 0.94375)","(-0.10236, 0.64363, -0.28875, 0.69647)","(-0.27833, 0.75558, -0.30159, 0.50062)","(0.55353, -0.77184, -0.21467, -0.21357)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.03644, -0.64054, -0.30683, 0.69817)","(-0.39036, -0.84442, -0.11063, 0.34151)","(-0.43609, -0.73731, -0.44015, 0.25694)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.01430, 0.05168, -0.03085, 0.99555)","(-0.00380, 0.10682, -0.04963, 0.99047)","(0.00208, 0.10603, -0.03116, 0.99132)","(0.00485, 0.05998, 0.01813, 0.99549)","(-0.01247, 0.02335, 0.02317, 0.99685)","(0.00701, -0.00662, -0.03191, 0.99691)",
"(0.02463, 0.06631, -0.01142, 0.99489)","(-0.00468, -0.00605, -0.07498, 0.99462)","(-0.33448, 0.05329, -0.02670, 0.94051)","(-0.10022, 0.64372, -0.28697, 0.69744)","(-0.27732, 0.75531, -0.29953, 0.50288)","(0.55379, -0.77084, -0.21605, -0.21510)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.03892, -0.64221, -0.30453, 0.69750)","(-0.38768, -0.84480, -0.11245, 0.34301)","(-0.43538, -0.73664, -0.44125, 0.25818)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.01441, 0.05217, -0.03096, 0.99552)","(-0.00500, 0.10829, -0.04987, 0.99030)","(0.00211, 0.10603, -0.03114, 0.99132)","(0.00485, 0.06082, 0.01837, 0.99543)","(-0.01357, 0.02298, 0.02317, 0.99684)","(0.00743, -0.00660, -0.03175, 0.99692)",
"(0.02865, 0.06740, -0.01190, 0.99470)","(0.00004, -0.00653, -0.07529, 0.99460)","(-0.32554, 0.05196, -0.01988, 0.94389)","(-0.09871, 0.64441, -0.28431, 0.69811)","(-0.27686, 0.75552, -0.29667, 0.50457)","(0.55415, -0.76972, -0.21735, -0.21684)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.04117, -0.64370, -0.30253, 0.69686)","(-0.38398, -0.84524, -0.11355, 0.34572)","(-0.43368, -0.73580, -0.44233, 0.26154)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.01447, 0.05321, -0.03107, 0.99546)","(-0.00633, 0.10990, -0.04985, 0.99011)","(0.00201, 0.10591, -0.03110, 0.99133)","(0.00433, 0.06230, 0.01877, 0.99533)","(-0.01540, 0.02284, 0.02358, 0.99681)","(0.00799, -0.00657, -0.03152, 0.99692)",
"(0.03399, 0.06848, -0.01235, 0.99446)","(0.00520, -0.00713, -0.07540, 0.99457)","(-0.32524, 0.05219, -0.02037, 0.94397)","(-0.09773, 0.64544, -0.28124, 0.69854)","(-0.27708, 0.75570, -0.29362, 0.50598)","(0.55433, -0.76893, -0.21852, -0.21798)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.04458, -0.64549, -0.30018, 0.69600)","(-0.38122, -0.84519, -0.11581, 0.34814)","(-0.43275, -0.73498, -0.44253, 0.26501)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.01464, 0.05448, -0.03084, 0.99539)","(-0.00745, 0.11098, -0.05006, 0.98997)","(0.00198, 0.10573, -0.03118, 0.99135)","(0.00386, 0.06323, 0.01916, 0.99527)","(-0.01679, 0.02182, 0.02394, 0.99680)","(0.00847, -0.00658, -0.03136, 0.99692)",
"(0.04110, 0.06922, -0.01271, 0.99413)","(0.01213, -0.00801, -0.07548, 0.99450)","(-0.32488, 0.04997, -0.02319, 0.94415)","(-0.09525, 0.64702, -0.27745, 0.69894)","(-0.27637, 0.75600, -0.28879, 0.50877)","(0.55435, -0.76754, -0.22055, -0.22074)","(0.00000, 0.04395, 0.00000, 0.99903)","(0.04785, -0.64787, -0.29665, 0.69508)","(-0.37573, -0.84512, -0.11981, 0.35289)","(-0.43236, -0.73291, -0.44360, 0.26952)","(0.00000, 0.04395, 0.00000, 0.99903)","(-0.01467, 0.05509, -0.03126, 0.99535)","(-0.00888, 0.11169, -0.05053, 0.98986)","(0.00221, 0.10570, -0.03131, 0.99135)","(0.00323, 0.06273, 0.01954, 0.99530)","(-0.01818, 0.01985, 0.02420, 0.99681)","(0.00909, -0.00658, -0.03122, 0.99692)",
